# nothing-htpc on-demand library index.
#
# Flat and tab-separated on purpose: cabletv.lua parses this with two string
# patterns and no JSON parser. Lua has no JSON in the standard library, and
# regexing real JSON is how you get a frozen box (see constraint 4) — so
# whatever ends up generating this file does the parsing, not the player.
#
# Columns:  kind <TAB> title <TAB> year <TAB> url
#   kind   "movie" (page 993) or "show" (page 994). Anything else is skipped.
#   title  Display name. Sorted by this, so it is also the letter-jump key.
#   year   Shown right-aligned. May be empty.
#   url    What mpv loadfiles when you press OK. MAY BE EMPTY — an entry with
#          no url shows "NO SOURCE" on the banner and plays nothing.
#
# Everything below is a PLACEHOLDER: real titles, deliberately no urls. The
# catalogue browser is finished and works; the backend that fills the url
# column is not wired up yet. To fill it, regenerate this whole file — nothing
# in here is hand-maintained state, unlike channels.m3u where the numbers are
# stable identities.
#
# The titles are public-domain films and series, so this list is also a
# legitimate shopping list: every one of them can be pointed at a real url
# without anybody's permission.

movie	A Trip to the Moon	1902
movie	Battleship Potemkin	1925
movie	Beat the Devil	1953
movie	Carnival of Souls	1962
movie	Charade	1963
movie	Dementia 13	1963
movie	Detour	1945
movie	D.O.A.	1949
movie	Haxan	1922
movie	His Girl Friday	1940
movie	Impact	1949
movie	Intolerance	1916
movie	Meet John Doe	1941
movie	Metropolis	1927
movie	Nanook of the North	1922
movie	Night of the Living Dead	1968
movie	Nosferatu	1922
movie	Plan 9 from Outer Space	1959
movie	Quicksand	1950
movie	Royal Wedding	1951
movie	Safety Last	1923
movie	Santa Fe Trail	1940
movie	Scarlet Street	1945
movie	Sherlock Jr	1924
movie	Steamboat Bill Jr	1928
movie	Suddenly	1954
movie	The Cabinet of Dr Caligari	1920
movie	The General	1926
movie	The Gold Rush	1925
movie	The Great Train Robbery	1903
movie	The Hitch-Hiker	1953
movie	The Immigrant	1917
movie	The Kid	1921
movie	The Last Man on Earth	1964
movie	The Little Shop of Horrors	1960
movie	The Man Who Knew Too Much	1934
movie	The Phantom of the Opera	1925
movie	The Stranger	1946
movie	Un Chien Andalou	1929

show	Bonanza	1959
show	Dragnet	1951
show	One Step Beyond	1959
show	Ozzie and Harriet	1952
show	Petticoat Junction	1963
show	Sherlock Holmes	1954
show	The Beverly Hillbillies	1962
show	The Cisco Kid	1950
show	The Dick Van Dyke Show	1961
show	The Lone Ranger	1949
show	The Lucy Show	1962
show	The Red Skelton Show	1951
